customer_id,customer_name,phone
1,Customer 001,9786579303
2,Customer 002,9219540831
3,Customer 003,9126855092
4,Customer 004,9896233790
5,Customer 005,9395310485
6,Customer 006,9362950628
7,Customer 007,9339670711
8,Customer 008,9249827706
9,Customer 009,9890779946
10,Customer 010,9210053353
11,Customer 011,9826600539
12,Customer 012,9895285932
13,Customer 013,9685582861
14,Customer 014,9193349856
15,Customer 015,9734036506
16,Customer 016,9553035110
17,Customer 017,9134126396
18,Customer 018,9131994523
19,Customer 019,9200604502
20,Customer 020,9334760738
21,Customer 021,9349817734
22,Customer 022,9642621108
23,Customer 023,9746412689
24,Customer 024,9128492780
25,Customer 025,9702632297
26,Customer 026,9313500298
27,Customer 027,9868820204
28,Customer 028,9797808098
29,Customer 029,9853041955
30,Customer 030,9685126461
31,Customer 031,9550455977
32,Customer 032,9336696312
33,Customer 033,9582334538
34,Customer 034,9732719211
35,Customer 035,9398704996
36,Customer 036,9969119330
37,Customer 037,9106977991
38,Customer 038,9914763202
39,Customer 039,9965241839
40,Customer 040,9271432881
41,Customer 041,9849621470
42,Customer 042,9553778756
43,Customer 043,9465341213
44,Customer 044,9398362082
45,Customer 045,9266944844
46,Customer 046,9331191390
47,Customer 047,9919795579
48,Customer 048,9461415646
49,Customer 049,9209747451
50,Customer 050,9199585092
51,Customer 051,9507943839
52,Customer 052,9203848421
53,Customer 053,9485451171
54,Customer 054,9469319644
55,Customer 055,9748245888
56,Customer 056,9384027113
57,Customer 057,9966647391
58,Customer 058,9146654552
59,Customer 059,9883543540
60,Customer 060,9593303705
61,Customer 061,9675770529
62,Customer 062,9234031070
63,Customer 063,9506448196
64,Customer 064,9184611066
65,Customer 065,9692749116
66,Customer 066,9414797776
67,Customer 067,9990566476
68,Customer 068,9774996843
69,Customer 069,9764130526
70,Customer 070,9488302652
71,Customer 071,9719927151
72,Customer 072,9306468299
73,Customer 073,9856528252
74,Customer 074,9174684276
75,Customer 075,9149203558
76,Customer 076,9810026086
77,Customer 077,9344703907
78,Customer 078,9930075810
79,Customer 079,9410727955
80,Customer 080,9185675980
81,Customer 081,9349957310
82,Customer 082,9208449460
83,Customer 083,9508157429
84,Customer 084,9398471886
85,Customer 085,9586845604
86,Customer 086,9782560971
87,Customer 087,9995619255
88,Customer 088,9491735568
89,Customer 089,9274648506
90,Customer 090,9497478786
91,Customer 091,9481469012
92,Customer 092,9324956459
93,Customer 093,9819595113
94,Customer 094,9386665249
95,Customer 095,9853573823
96,Customer 096,9833953718
97,Customer 097,9795822698
98,Customer 098,9176667861
99,Customer 099,9754049436
100,Customer 100,9781802744
101,Customer 101,9283758720
102,Customer 102,9673528321
103,Customer 103,9882893941
104,Customer 104,9362863730
105,Customer 105,9275452091
106,Customer 106,9596348124
107,Customer 107,9507437181
108,Customer 108,9389854268
109,Customer 109,9787194506
110,Customer 110,9838908273
111,Customer 111,9698020238
112,Customer 112,9335809993
113,Customer 113,9835098955
114,Customer 114,9448195935
115,Customer 115,9924970419
116,Customer 116,9933223566
117,Customer 117,9160062915
118,Customer 118,9345938494
119,Customer 119,9982403818
120,Customer 120,9134467368
121,Customer 121,9964411347
122,Customer 122,9438715135
123,Customer 123,9530747414
124,Customer 124,9387484583
125,Customer 125,9171069472
126,Customer 126,9326541099
127,Customer 127,9709004943
128,Customer 128,9870854579
129,Customer 129,9437882805
130,Customer 130,9328306011
131,Customer 131,9803771909
132,Customer 132,9636045484
133,Customer 133,9524806516
134,Customer 134,9790256940
135,Customer 135,9592688426
136,Customer 136,9253407200
137,Customer 137,9384412919
138,Customer 138,9249926919
139,Customer 139,9364814270
140,Customer 140,9899925830
141,Customer 141,9702764446
142,Customer 142,9678722458
143,Customer 143,9382116655
144,Customer 144,9902099969
145,Customer 145,9727694430
146,Customer 146,9560027313
147,Customer 147,9726563708
148,Customer 148,9528853029
149,Customer 149,9488690725
150,Customer 150,9335493870
